name,age,market_value_est,club,league_country
Frengky Missa,20 Feb 2004 (21),"Rp2,17Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Putu Gede,7 Jun 1995 (30),"Rp3,48Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Moisés Gaúcho,24 Sep 1994 (31),"Rp3,48Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Evandra Florasta,17 Jun 2008 (17),-,Bhayangkara Presisi Lampung FC,Unknown League
Christian Ilic,22 Jul 1996 (29),"Rp6,08Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Lautaro Belleggia,21 Mar 1997 (28),"Rp3,04Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
TM Ichsan,25 Nov 1997 (28),"Rp1,30Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Wahyu Subo Seto,16 Jul 1993 (32),"Rp1,74Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Da-bin Ji,3 Mar 2006 (19),-,Bhayangkara Presisi Lampung FC,Unknown League
Stjepan Plazonja,2 Jan 1998 (28),"Rp3,91Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Sani Rizki,7 Jan 1998 (28),"Rp2,61Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Ginanjar Wahyu,20 Nov 2003 (22),"Rp869,08Jt.",Bhayangkara Presisi Lampung FC,Unknown League
Fadly Alberto,22 Jun 2008 (17),-,Bhayangkara Presisi Lampung FC,Unknown League
Moussa Sidibé,21 Nov 1994 (31),"Rp4,78Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Privat Mbarga,7 Jan 1992 (34),"Rp4,35Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Ryan Kurnia,28 Jun 1996 (29),"Rp3,04Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Fareed Sadat,10 Nov 1998 (27),"Rp3,48Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Dendy Sulistyawan,12 Okt 1996 (29),"Rp3,04Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Henri Doumbia,11 Nov 1992 (33),"Rp1,74Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Ilija Spasojević,11 Sep 1987 (38),"Rp1,30Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Ernando Ari,27 Feb 2002 (23),"Rp5,21Mlyr.",Persebaya Surabaya,Unknown League
Andhika Ramadhani,5 Jan 1999 (27),"Rp3,04Mlyr.",Persebaya Surabaya,Unknown League
Muhammad Ilham,7 Mei 2007 (18),-,Persebaya Surabaya,Unknown League
Gustavo Fernandes,5 Jul 1999 (26),"Rp4,35Mlyr.",Persebaya Surabaya,Unknown League
Léo Lelis,15 Nov 1993 (32),"Rp3,04Mlyr.",Persebaya Surabaya,Unknown League
Risto Mitrevski,5 Okt 1991 (34),"Rp2,17Mlyr.",Persebaya Surabaya,Unknown League
Randy May,21 Sep 2000 (25),"Rp434,54Jt.",Persebaya Surabaya,Unknown League
Sheva Kardanu,24 Jan 2005 (21),-,Persebaya Surabaya,Unknown League
